latitude,longitude,latbin,lonbin,tp
29.75,264.625,29.75,264.625,59.5
29.75,264.75,29.75,264.75,51.0
29.75,264.875,29.75,264.875,45.7
29.75,265.0,29.75,265.0,50.5
29.75,265.125,29.75,265.125,58.3
29.75,265.25,29.75,265.25,64.5
29.75,265.375,29.75,265.375,69.7
29.75,265.5,29.75,265.5,74.0
29.875,263.625,29.875,263.625,78.9
29.875,263.75,29.875,263.75,79.5
29.875,263.875,29.875,263.875,66.8
29.875,264.0,29.875,264.0,60.7
29.875,264.125,29.875,264.125,67.3
29.875,264.25,29.875,264.25,70.3
29.875,264.375,29.875,264.375,64.0
29.875,264.5,29.875,264.5,49.7
29.875,264.625,29.875,264.625,47.3
29.875,264.75,29.875,264.75,38.8
29.875,264.875,29.875,264.875,34.8
29.875,265.0,29.875,265.0,42.9
29.875,265.125,29.875,265.125,55.1
29.875,265.25,29.875,265.25,68.8
29.875,265.375,29.875,265.375,79.1
29.875,265.5,29.875,265.5,88.8
30.0,263.75,30.0,263.75,63.6
30.0,263.875,30.0,263.875,55.5
30.0,264.0,30.0,264.0,55.5
30.0,264.125,30.0,264.125,62.2
30.0,264.25,30.0,264.25,69.9
30.0,264.375,30.0,264.375,62.4
30.0,264.5,30.0,264.5,44.1
30.0,264.625,30.0,264.625,38.9
30.0,264.75,30.0,264.75,36.6
30.0,264.875,30.0,264.875,42.1
30.0,265.0,30.0,265.0,49.3
30.0,265.125,30.0,265.125,58.5
30.0,265.25,30.0,265.25,69.1
30.0,265.375,30.0,265.375,73.0
30.0,265.5,30.0,265.5,77.0
30.125,263.75,30.125,263.75,61.5
30.125,263.875,30.125,263.875,58.5
30.125,264.0,30.125,264.0,58.3
30.125,264.125,30.125,264.125,61.0
30.125,264.25,30.125,264.25,61.6
30.125,264.375,30.125,264.375,53.2
30.125,264.5,30.125,264.5,40.2
30.125,264.625,30.125,264.625,44.4
30.125,264.75,30.125,264.75,52.5
30.125,264.875,30.125,264.875,58.3
30.125,265.0,30.125,265.0,64.0
30.125,265.125,30.125,265.125,66.8
30.125,265.25,30.125,265.25,63.9
30.125,265.375,30.125,265.375,61.7
30.125,265.5,30.125,265.5,61.4
30.25,263.75,30.25,263.75,75.2
30.25,263.875,30.25,263.875,74.9
30.25,264.0,30.25,264.0,82.1
30.25,264.125,30.25,264.125,81.9
30.25,264.25,30.25,264.25,77.2
30.25,264.375,30.25,264.375,77.0
30.25,264.5,30.25,264.5,64.3
30.25,264.625,30.25,264.625,64.3
30.25,264.75,30.25,264.75,70.0
30.25,264.875,30.25,264.875,75.0
30.25,265.0,30.25,265.0,69.0
30.25,265.125,30.25,265.125,67.7
30.25,265.25,30.25,265.25,63.7
30.25,265.375,30.25,265.375,58.2
30.375,263.875,30.375,263.875,108.6
30.375,264.0,30.375,264.0,118.1
30.375,264.125,30.375,264.125,104.7
30.375,264.25,30.375,264.25,94.3
30.375,264.375,30.375,264.375,87.1
30.375,264.5,30.375,264.5,84.0
30.375,264.625,30.375,264.625,85.9
30.375,264.75,30.375,264.75,86.5
30.375,264.875,30.375,264.875,81.5
30.375,265.0,30.375,265.0,75.1
30.375,265.125,30.375,265.125,70.7
30.375,265.25,30.375,265.25,62.6
30.375,265.375,30.375,265.375,62.2
30.5,264.0,30.5,264.0,132.0
30.5,264.125,30.5,264.125,127.5
30.5,264.25,30.5,264.25,113.1
30.5,264.375,30.5,264.375,101.5
30.5,264.5,30.5,264.5,100.6
30.5,264.625,30.5,264.625,97.2
30.5,264.75,30.5,264.75,91.5
30.5,264.875,30.5,264.875,84.9
30.5,265.0,30.5,265.0,82.0
30.5,265.125,30.5,265.125,75.8
30.5,265.25,30.5,265.25,69.6
30.625,264.125,30.625,264.125,123.1
30.625,264.25,30.625,264.25,123.8
30.625,264.375,30.625,264.375,115.7
30.625,264.5,30.625,264.5,105.6
30.625,264.625,30.625,264.625,100.5
30.625,264.75,30.625,264.75,97.1
30.625,264.875,30.625,264.875,98.5
30.625,265.0,30.625,265.0,91.1
30.625,265.125,30.625,265.125,78.9
30.75,264.375,30.75,264.375,100.7
30.75,264.5,30.75,264.5,89.7
30.75,264.625,30.75,264.625,83.2
30.75,264.75,30.75,264.75,86.4
38.375,283.125,38.375,283.125,37.3
38.375,283.25,38.375,283.25,40.2
38.375,283.375,38.375,283.375,43.0
38.375,283.5,38.375,283.5,44.5
38.375,283.625,38.375,283.625,44.6
38.5,282.875,38.5,282.875,34.5
38.5,283.0,38.5,283.0,37.0
38.5,283.125,38.5,283.125,39.7
38.5,283.25,38.5,283.25,43.9
38.5,283.375,38.5,283.375,44.2
38.5,283.5,38.5,283.5,43.3
38.5,283.625,38.5,283.625,42.3
38.5,283.75,38.5,283.75,43.6
38.5,283.875,38.5,283.875,44.9
38.625,282.75,38.625,282.75,38.6
38.625,282.875,38.625,282.875,39.8
38.625,283.0,38.625,283.0,42.2
38.625,283.125,38.625,283.125,42.6
38.625,283.25,38.625,283.25,42.3
38.625,283.375,38.625,283.375,41.8
38.625,283.5,38.625,283.5,40.1
38.625,283.625,38.625,283.625,40.9
38.625,283.75,38.625,283.75,41.9
38.625,283.875,38.625,283.875,43.2
38.625,284.0,38.625,284.0,45.5
38.75,282.625,38.75,282.625,39.4
38.75,282.75,38.75,282.75,40.8
38.75,282.875,38.75,282.875,42.2
38.75,283.0,38.75,283.0,42.7
38.75,283.125,38.75,283.125,41.7
38.75,283.25,38.75,283.25,40.4
38.75,283.375,38.75,283.375,38.8
38.75,283.5,38.75,283.5,37.4
38.75,283.625,38.75,283.625,38.7
38.75,283.75,38.75,283.75,40.6
38.75,283.875,38.75,283.875,42.0
38.75,284.0,38.75,284.0,44.5
38.75,284.125,38.75,284.125,46.8
38.875,282.5,38.875,282.5,35.2
38.875,282.625,38.875,282.625,38.8
38.875,282.75,38.875,282.75,41.8
38.875,282.875,38.875,282.875,42.2
38.875,283.0,38.875,283.0,41.7
38.875,283.125,38.875,283.125,39.7
38.875,283.25,38.875,283.25,38.9
38.875,283.375,38.875,283.375,38.0
38.875,283.5,38.875,283.5,36.5
38.875,283.625,38.875,283.625,36.3
38.875,283.75,38.875,283.75,37.5
38.875,283.875,38.875,283.875,40.8
38.875,284.0,38.875,284.0,43.4
38.875,284.125,38.875,284.125,45.9
38.875,284.25,38.875,284.25,48.2
39.0,282.5,39.0,282.5,34.3
39.0,282.625,39.0,282.625,38.0
39.0,282.75,39.0,282.75,41.8
39.0,282.875,39.0,282.875,42.4
39.0,283.0,39.0,283.0,42.0
39.0,283.125,39.0,283.125,39.9
39.0,283.25,39.0,283.25,40.4
39.0,283.375,39.0,283.375,39.9
39.0,283.5,39.0,283.5,38.3
39.0,283.625,39.0,283.625,35.1
39.0,283.75,39.0,283.75,34.9
39.0,283.875,39.0,283.875,36.8
39.0,284.0,39.0,284.0,40.6
39.0,284.125,39.0,284.125,43.7
39.0,284.25,39.0,284.25,46.3
39.125,282.5,39.125,282.5,36.4
39.125,282.625,39.125,282.625,40.0
39.125,282.75,39.125,282.75,43.6
39.125,282.875,39.125,282.875,43.6
39.125,283.0,39.125,283.0,42.5
39.125,283.125,39.125,283.125,42.1
39.125,283.25,39.125,283.25,42.7
39.125,283.375,39.125,283.375,42.5
39.125,283.5,39.125,283.5,39.5
39.125,283.625,39.125,283.625,36.2
39.125,283.75,39.125,283.75,33.6
39.125,283.875,39.125,283.875,34.4
39.125,284.0,39.125,284.0,37.4
39.125,284.125,39.125,284.125,42.1
39.125,284.25,39.125,284.25,45.2
39.25,282.5,39.25,282.5,41.3
39.25,282.625,39.25,282.625,43.9
39.25,282.75,39.25,282.75,45.3
39.25,282.875,39.25,282.875,45.3
39.25,283.0,39.25,283.0,44.4
39.25,283.125,39.25,283.125,44.3
39.25,283.25,39.25,283.25,45.4
39.25,283.375,39.25,283.375,45.6
39.25,283.5,39.25,283.5,44.2
39.25,283.625,39.25,283.625,39.6
39.25,283.75,39.25,283.75,36.5
39.25,283.875,39.25,283.875,35.1
39.25,284.0,39.25,284.0,36.2
39.25,284.125,39.25,284.125,38.8
39.25,284.25,39.25,284.25,42.4
39.25,284.375,39.25,284.375,44.8
39.375,282.5,39.375,282.5,47.5
39.375,282.625,39.375,282.625,47.1
39.375,282.75,39.375,282.75,47.4
39.375,282.875,39.375,282.875,48.4
39.375,283.0,39.375,283.0,47.8
39.375,283.125,39.375,283.125,47.7
39.375,283.25,39.375,283.25,48.5
39.375,283.375,39.375,283.375,50.2
39.375,283.5,39.375,283.5,50.0
39.375,283.625,39.375,283.625,47.7
39.375,283.75,39.375,283.75,41.7
39.375,283.875,39.375,283.875,37.9
39.375,284.0,39.375,284.0,36.0
39.375,284.125,39.375,284.125,38.2
39.375,284.25,39.375,284.25,40.3
39.375,284.375,39.375,284.375,41.6
39.5,282.5,39.5,282.5,58.1
39.5,282.625,39.5,282.625,48.8
39.5,282.75,39.5,282.75,48.0
39.5,282.875,39.5,282.875,48.7
39.5,283.0,39.5,283.0,50.9
39.5,283.125,39.5,283.125,50.3
39.5,283.25,39.5,283.25,50.6
39.5,283.375,39.5,283.375,51.6
39.5,283.5,39.5,283.5,53.3
39.5,283.625,39.5,283.625,52.5
39.5,283.75,39.5,283.75,49.1
39.5,283.875,39.5,283.875,44.7
39.5,284.0,39.5,284.0,42.8
39.5,284.125,39.5,284.125,41.2
39.5,284.25,39.5,284.25,42.1
39.625,282.5,39.625,282.5,59.9
39.625,282.625,39.625,282.625,52.0
39.625,282.75,39.625,282.75,42.6
39.625,282.875,39.625,282.875,47.8
39.625,283.0,39.625,283.0,50.9
39.625,283.125,39.625,283.125,51.5
39.625,283.25,39.625,283.25,50.9
39.625,283.375,39.625,283.375,51.9
39.625,283.5,39.625,283.5,53.2
39.625,283.625,39.625,283.625,54.5
39.625,283.75,39.625,283.75,54.3
39.625,283.875,39.625,283.875,53.4
39.625,284.0,39.625,284.0,52.2
39.625,284.125,39.625,284.125,50.8
39.625,284.25,39.625,284.25,48.6
39.75,282.5,39.75,282.5,59.0
39.75,282.625,39.75,282.625,49.7
39.75,282.75,39.75,282.75,44.4
39.75,282.875,39.75,282.875,43.8
39.75,283.0,39.75,283.0,48.9
39.75,283.125,39.75,283.125,49.9
39.75,283.25,39.75,283.25,48.7
39.75,283.375,39.75,283.375,49.8
39.75,283.5,39.75,283.5,50.0
39.75,283.625,39.75,283.625,51.1
39.75,283.75,39.75,283.75,53.8
39.75,283.875,39.75,283.875,58.9
39.75,284.0,39.75,284.0,60.4
39.75,284.125,39.75,284.125,59.3
39.75,284.25,39.75,284.25,57.3
39.875,282.625,39.875,282.625,50.8
39.875,282.75,39.875,282.75,44.3
39.875,282.875,39.875,282.875,42.3
39.875,283.0,39.875,283.0,42.5
39.875,283.125,39.875,283.125,44.0
39.875,283.25,39.875,283.25,44.4
39.875,283.375,39.875,283.375,44.2
39.875,283.5,39.875,283.5,44.3
39.875,283.625,39.875,283.625,45.8
39.875,283.75,39.875,283.75,51.7
39.875,283.875,39.875,283.875,58.7
39.875,284.0,39.875,284.0,62.6
39.875,284.125,39.875,284.125,62.4
40.0,282.75,40.0,282.75,43.7
40.0,282.875,40.0,282.875,40.3
40.0,283.0,40.0,283.0,40.7
40.0,283.125,40.0,283.125,40.4
40.0,283.25,40.0,283.25,41.1
40.0,283.375,40.0,283.375,41.2
40.0,283.5,40.0,283.5,41.4
40.0,283.625,40.0,283.625,42.9
40.0,283.75,40.0,283.75,47.8
40.0,283.875,40.0,283.875,53.6
40.0,284.0,40.0,284.0,58.3
40.125,282.875,40.125,282.875,38.0
40.125,283.0,40.125,283.0,39.6
40.125,283.125,40.125,283.125,40.7
40.125,283.25,40.125,283.25,41.7
40.125,283.375,40.125,283.375,42.8
40.125,283.5,40.125,283.5,44.3
40.125,283.625,40.125,283.625,45.0
40.125,283.75,40.125,283.75,47.8
40.125,283.875,40.125,283.875,51.8
40.25,283.125,40.25,283.125,42.5
40.25,283.25,40.25,283.25,44.9
40.25,283.375,40.25,283.375,47.5
40.25,283.5,40.25,283.5,49.7
40.25,283.625,40.25,283.625,51.4
36.0,283.375,36.0,283.375,29.8
36.0,283.5,36.0,283.5,31.8
36.0,283.625,36.0,283.625,32.3
36.0,283.75,36.0,283.75,31.6
36.0,283.875,36.0,283.875,28.2
36.0,284.0,36.0,284.0,25.2
36.0,284.125,36.0,284.125,21.0
36.125,283.125,36.125,283.125,28.1
36.125,283.25,36.125,283.25,26.2
36.125,283.375,36.125,283.375,25.9
36.125,283.5,36.125,283.5,27.2
36.125,283.625,36.125,283.625,28.8
36.125,283.75,36.125,283.75,30.3
36.125,283.875,36.125,283.875,31.2
36.125,284.0,36.125,284.0,29.2
36.125,284.125,36.125,284.125,25.0
36.125,284.25,36.125,284.25,20.5
36.125,284.375,36.125,284.375,18.7
36.25,283.0,36.25,283.0,35.4
36.25,283.125,36.25,283.125,32.3
36.25,283.25,36.25,283.25,26.8
36.25,283.375,36.25,283.375,24.3
36.25,283.5,36.25,283.5,23.4
36.25,283.625,36.25,283.625,24.3
36.25,283.75,36.25,283.75,27.7
36.25,283.875,36.25,283.875,31.0
36.25,284.0,36.25,284.0,33.2
36.25,284.125,36.25,284.125,30.6
36.25,284.25,36.25,284.25,26.2
36.25,284.375,36.25,284.375,22.1
36.25,284.5,36.25,284.5,20.6
36.375,283.0,36.375,283.0,34.2
36.375,283.125,36.375,283.125,34.7
36.375,283.25,36.375,283.25,33.1
36.375,283.375,36.375,283.375,28.3
36.375,283.5,36.375,283.5,24.7
36.375,283.625,36.375,283.625,22.8
36.375,283.75,36.375,283.75,22.6
36.375,283.875,36.375,283.875,26.9
36.375,284.0,36.375,284.0,29.8
36.375,284.125,36.375,284.125,33.0
36.375,284.25,36.375,284.25,30.9
36.375,284.375,36.375,284.375,27.6
36.375,284.5,36.375,284.5,24.7
36.5,282.875,36.5,282.875,22.4
36.5,283.0,36.5,283.0,26.3
36.5,283.125,36.5,283.125,32.0
36.5,283.25,36.5,283.25,34.2
36.5,283.375,36.5,283.375,33.9
36.5,283.5,36.5,283.5,30.5
36.5,283.625,36.5,283.625,25.7
36.5,283.75,36.5,283.75,22.9
36.5,283.875,36.5,283.875,21.2
36.5,284.0,36.5,284.0,24.0
36.5,284.125,36.5,284.125,27.0
36.5,284.25,36.5,284.25,28.6
36.5,284.375,36.5,284.375,30.2
36.5,284.5,36.5,284.5,29.7
36.5,284.625,36.5,284.625,27.5
36.625,282.875,36.625,282.875,20.0
36.625,283.0,36.625,283.0,21.4
36.625,283.125,36.625,283.125,24.7
36.625,283.25,36.625,283.25,29.0
36.625,283.375,36.625,283.375,32.5
36.625,283.5,36.625,283.5,33.1
36.625,283.625,36.625,283.625,33.3
36.625,283.75,36.625,283.75,28.2
36.625,283.875,36.625,283.875,24.8
36.625,284.0,36.625,284.0,23.0
36.625,284.125,36.625,284.125,21.2
36.625,284.25,36.625,284.25,21.6
36.625,284.375,36.625,284.375,24.1
36.625,284.5,36.625,284.5,28.4
36.625,284.625,36.625,284.625,29.5
36.75,282.875,36.75,282.875,20.4
36.75,283.0,36.75,283.0,19.5
36.75,283.125,36.75,283.125,20.7
36.75,283.25,36.75,283.25,22.7
36.75,283.375,36.75,283.375,25.4
36.75,283.5,36.75,283.5,30.2
36.75,283.625,36.75,283.625,33.4
36.75,283.75,36.75,283.75,33.9
36.75,283.875,36.75,283.875,31.4
36.75,284.0,36.75,284.0,27.2
36.75,284.125,36.75,284.125,20.0
36.75,284.25,36.75,284.25,18.1
36.75,284.375,36.75,284.375,18.4
36.75,284.5,36.75,284.5,20.5
36.75,284.625,36.75,284.625,25.3
